date,gap_pct,prior_close,session_open,initial_minutes,initial_high,initial_low,initial_close,bullish_initial,eligible_initial,open_retest_first_hour,open_retest_minute,swept_initial_low,sweep_minute,sweep_in_first_hour,prior_close_reached_by_sweep,revisited_initial_high_after_sweep,initial_high_revisit_minute,retested_prior_close_after_sweep,prior_close_retest_minute,resolution
2024-07-31,2.259961095447305,457.53,467.87,5,468.348,466.41,466.41,False,False,False,,False,,False,False,False,,False,,no_setup
2024-08-01,0.14647504617149032,471.07,471.76,5,472.65,471.5,472.5801,True,True,True,6.0,True,51.0,True,False,False,,True,52.0,prior_close_first
2024-08-06,0.42722282196752115,435.37,437.23,5,439.54,437.0,438.08,True,True,True,6.0,True,7.0,True,False,True,27.0,True,12.0,prior_close_first
2024-08-07,1.5835096580438357,439.53,446.49,5,448.12,446.15,447.44,True,True,True,48.0,True,49.0,True,False,True,75.0,True,228.0,initial_high_first
2024-08-12,0.21757953864256496,450.41,451.39,5,452.06,451.2,452.03,True,True,True,6.0,True,8.0,True,False,True,46.0,True,12.0,prior_close_first
2024-08-13,0.9836501395719788,451.38,455.82,5,457.4013,455.68,456.82,True,True,False,,False,,False,False,False,,False,,no_setup
2024-08-14,0.20104630550390468,462.58,463.51,5,464.43,462.76,462.8,False,False,False,,False,,False,False,False,,False,,no_setup
2024-08-15,1.3031357379033048,462.73,468.76,5,469.72,468.38,469.05,True,True,True,6.0,False,,False,False,False,,False,,no_setup
2024-08-21,0.16449423229085713,480.26,481.05,5,481.16,480.48,480.52,False,False,False,,False,,False,False,False,,False,,no_setup
2024-08-22,0.48497409326424545,482.5,484.84,5,485.54,484.6,484.92,True,True,True,5.0,True,6.0,True,False,False,,True,41.0,prior_close_first
2024-08-30,0.930608082267459,470.66,475.04,5,475.45,474.03,474.54,False,False,False,,False,,False,False,False,,False,,no_setup
2024-09-10,0.39167363464331917,454.46,456.24,5,457.82,456.01,456.72,True,True,True,6.0,True,7.0,True,False,True,271.0,True,81.0,prior_close_first
2024-09-11,0.27253303100336357,458.66,459.91,5,459.94,458.45,458.504,False,False,False,,False,,False,False,False,,False,,no_setup
2024-09-17,0.6444932803651549,473.24,476.29,5,477.05,475.69,475.69,False,False,False,,False,,False,False,False,,False,,no_setup
2024-09-19,2.3693365009333167,471.44,482.61,5,482.75,481.87,481.89,False,False,False,,False,,False,False,False,,False,,no_setup
2024-09-24,0.2939715137462606,483.04,484.46,5,484.89,483.69,484.08,False,False,False,,False,,False,False,False,,False,,no_setup
2024-09-26,1.554073525173938,485.82,493.37,5,493.7,491.99,492.07,False,False,False,,False,,False,False,False,,False,,no_setup
2024-10-04,1.216802674474149,481.59,487.45,5,487.64,486.45,487.15,False,False,False,,False,,False,False,False,,False,,no_setup
2024-10-14,0.48848710880491364,493.36,495.77,5,496.6,495.54,496.53,True,True,False,,False,,False,False,False,,False,,no_setup
2024-10-17,1.1264793954085306,490.91,496.44,5,496.49,493.99,494.18,False,False,False,,False,,False,False,False,,False,,no_setup
2024-10-25,0.5727981800454973,492.32,495.14,5,496.45,495.12,496.18,True,True,False,,False,,False,False,False,,False,,no_setup
2024-10-28,0.6339336186707456,495.32,498.46,5,498.52,497.04,497.55,False,False,False,,False,,False,False,False,,False,,no_setup
2024-11-05,0.3292113331001545,486.01,487.61,5,489.12,487.52,489.024,True,True,False,,False,,False,False,False,,False,,no_setup
2024-11-06,1.6964303854046126,492.21,500.56,5,502.0899,500.2708,501.44,True,True,True,18.0,True,19.0,True,False,True,44.0,False,,initial_high_first
2024-11-07,0.5577752284504855,505.58,508.4,5,509.44,508.34,509.21,True,True,False,,False,,False,False,False,,False,,no_setup
2024-11-11,0.23923444976077235,514.14,515.37,5,515.58,514.82,515.01,False,False,False,,False,,False,False,False,,False,,no_setup
2024-11-21,0.6101317646123539,503.17,506.24,5,506.96,503.98,504.35,False,False,False,,False,,False,False,False,,False,,no_setup
2024-11-25,0.8125902054212153,505.79,509.9,5,510.05,508.49,509.59,False,False,False,,False,,False,False,False,,False,,no_setup
2024-12-02,0.249146623768981,509.74,511.01,5,512.92,510.62,512.7419,True,True,False,,False,,False,False,False,,False,,no_setup
2024-12-04,0.6674792501015769,516.87,520.32,5,520.77,519.88,520.09,False,False,False,,False,,False,False,False,,False,,no_setup
2024-12-11,0.8451786400307304,520.6,525.0,5,525.69,524.59,525.42,True,True,False,,False,,False,False,False,,False,,no_setup
2024-12-13,0.7521367521367672,526.5,530.46,5,531.0,530.29,530.97,True,True,False,,False,,False,False,False,,False,,no_setup
2024-12-16,0.48065142404767336,530.53,533.08,5,533.995,533.0,533.63,True,True,True,8.0,False,,False,False,False,,False,,no_setup
2024-12-23,0.17159603593877026,518.66,519.55,5,520.7783,519.25,520.08,True,True,True,14.0,True,16.0,True,True,True,132.0,True,18.0,prior_close_first
2024-12-24,0.37485417025264756,522.87,524.83,5,525.22,524.19,524.85,True,True,True,5.0,False,,False,False,False,,False,,no_setup
2024-12-31,0.2501890964100806,515.61,516.9,5,517.66,516.36,517.06,True,True,True,5.0,True,6.0,True,False,False,,True,8.0,prior_close_first
2025-01-06,1.0490184735238328,518.58,524.02,5,525.29,523.76,525.17,True,True,False,,False,,False,False,False,,False,,no_setup
2025-01-07,0.20017539177186183,524.54,525.59,5,525.99,524.57,524.6,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-14,0.6290054592926753,505.56,508.74,5,509.02,507.5,508.71,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-15,1.5740080779282462,505.08,513.03,5,513.84,512.37,513.35,True,True,True,5.0,True,7.0,True,False,True,11.0,False,,initial_high_first
2025-01-16,0.4412618540739155,516.7,518.98,5,519.0599,516.84,517.27,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-17,1.9041864816402798,513.08,522.85,5,523.05,520.51,520.65,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-21,0.5251657913903474,521.74,524.48,5,524.69,523.87,524.0,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-22,0.9089176829268464,524.8,529.57,5,531.1994,529.26,530.64,True,True,False,,False,,False,False,False,,False,,no_setup
2025-01-28,0.19641780595476277,514.21,515.22,5,515.63,513.7458,514.18,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-29,0.1245664130622437,521.81,522.46,5,522.59,520.84,520.9599,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-30,0.5529635389666554,520.83,523.71,5,524.16,522.95,522.9601,False,False,False,,False,,False,False,False,,False,,no_setup
2025-01-31,0.7398910238026968,523.05,526.92,5,528.4599,526.74,527.83,True,True,True,6.0,True,244.0,False,False,False,,True,315.0,prior_close_first
2025-02-04,0.10036478740036436,518.11,518.63,5,519.665,518.23,519.31,True,True,False,,False,,False,False,False,,False,,no_setup
2025-02-07,0.10196374622355453,529.6,530.14,5,531.76,529.79,531.54,True,True,True,30.0,True,31.0,True,True,False,,True,32.0,prior_close_first
2025-02-13,0.31800113571835986,528.3,529.98,5,531.92,529.87,531.67,True,True,True,8.0,True,9.0,True,False,True,32.0,False,,initial_high_first
2025-02-18,0.2935984390969093,538.15,539.73,5,540.0,538.93,539.6,False,False,False,,False,,False,False,False,,False,,no_setup
2025-02-27,0.6937966417910557,514.56,518.13,5,518.7899,517.7,518.25,True,True,True,8.0,True,9.0,True,False,False,,True,13.0,prior_close_first
2025-03-03,0.659228211031726,508.17,511.52,5,513.04,510.7,512.25,True,True,True,6.0,True,8.0,True,False,False,,True,23.0,prior_close_first
2025-03-05,0.13116738976894915,495.55,496.2,5,496.83,495.29,496.05,False,False,False,,False,,False,False,False,,False,,no_setup
2025-03-12,1.6030534351145098,471.6,479.16,5,481.0,478.54,480.11,True,True,True,14.0,True,18.0,True,False,False,,False,,neither
2025-03-24,1.4349887696531116,480.84,487.74,5,488.2,487.12,487.24,False,False,False,,False,,False,False,False,,False,,no_setup
2025-03-25,0.14877919536948614,490.66,491.39,5,491.84,491.02,491.4,True,True,True,5.0,True,6.0,True,False,True,11.0,True,13.0,initial_high_first
2025-04-08,3.4152328353277195,423.69,438.16,5,439.44,437.2248,438.65,True,True,True,5.0,True,6.0,True,False,True,16.0,True,222.0,initial_high_first
2025-04-14,2.213908450704216,454.4,464.46,5,465.05,463.0763,463.35,False,False,False,,False,,False,False,False,,False,,no_setup
2025-04-22,1.318371776223115,433.11,438.82,5,439.03,437.74,437.89,False,False,False,,False,,False,False,False,,False,,no_setup
2025-04-23,3.0800035997120334,444.48,458.17,5,459.6332,458.0,459.1091,True,True,True,6.0,True,7.0,True,False,True,8.0,False,,initial_high_first
2025-05-01,1.6699265989442047,475.47,483.41,5,483.89,482.05,482.64,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-02,1.0089686098654793,481.68,486.54,5,487.64,486.13,486.47,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-07,0.13917450821543387,481.41,482.08,5,482.6188,481.3,482.03,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-08,1.0821435961100745,483.3,488.53,5,488.74,487.27,487.33,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-09,0.3932089536955452,488.29,490.21,5,491.08,490.2,491.05,True,True,True,14.0,True,15.0,True,False,True,31.0,True,57.0,initial_high_first
2025-05-12,3.897780601266465,487.97,506.99,5,507.06,504.18,504.2312,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-13,0.25795018214038734,507.85,509.16,5,510.0,508.42,509.99,True,True,False,,False,,False,False,False,,False,,no_setup
2025-05-14,0.22886401986073057,515.59,516.77,5,518.7,516.69,518.69,True,True,True,16.0,True,17.0,True,False,True,156.0,False,,initial_high_first
2025-05-16,0.2715454983148735,519.25,520.66,5,520.72,519.47,519.71,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-27,1.3569240436729135,509.24,516.15,5,516.8,515.31,515.59,False,False,False,,False,,False,False,False,,False,,no_setup
2025-05-28,0.184183262346016,521.22,522.18,5,522.71,521.85,522.7,True,True,True,17.0,True,18.0,True,False,False,,True,27.0,prior_close_first
2025-05-29,1.4299204100904017,518.91,526.33,5,526.48,524.02,524.79,False,False,False,,False,,False,False,False,,False,,no_setup
2025-06-04,0.1346482078513178,527.3,528.01,5,528.78,527.84,528.71,True,True,True,30.0,True,31.0,True,False,True,65.0,True,34.0,prior_close_first
